,Song Name,Artist,Words count,Year,Bin
0,The Scientist,Coldplay,101,2002,2000s
1,Yellow,Coldplay,99,2000,2000s
2,Fix You,Coldplay,93,2005,2000s
3,Chasing Cars,Snow Patrol,83,2006,2000s
4,I'm Yours,Jason Mraz,227,2008,2000s
5,I Will Follow You Into The Dark,Death Cab for Cutie,110,2006,2000s
6,How to Save a Life,The Fray,166,2005,2000s
7,She Will Be Loved,Maroon 5,144,2002,2000s
8,Such Great Heights,The Postal Service,123,2003,2000s
9,Skinny Love,Bon Iver,76,2007,2000s
10,Somewhere Only We Know,Keane,125,2004,2000s
11,This Love,Maroon 5,134,2002,2000s
12,Best I Ever Had,Drake,408,2009,2000s
13,I MISS YOU,blink-182,150,2004,2000s
14,Here Without You,3 Doors Down,119,2002,2000s
15,Halo,Beyoncé,231,2009,2000s
16,The Reason,Hoobastank,86,2003,2000s
17,Hey There Delilah,Plain White T's,152,2006,2000s
18,All I Need,Radiohead,49,2007,2000s
19,Heartbeats,José González,80,2003,2000s
20,Better Together,Jack Johnson,152,2005,2000s
21,My Immortal,Evanescence,110,2003,2000s
22,You've Got the Love,Florence + the Machine,125,2009,2000s
23,Maps,Yeah Yeah Yeahs,100,2003,2000s
24,House of Cards,Radiohead,61,2007,2000s
25,You're Beautiful,James Blunt,87,2005,2000s
26,Bleeding Love,Leona Lewis,215,2007,2000s
27,Home,Edward Sharpe & The Magnetic Zeros,240,2009,2000s
28,Digital Love,Daft Punk,73,2001,2000s
29,Chasing Pavements,Adele,122,2008,2000s
30,Banana Pancakes,Jack Johnson,168,2005,2000s
31,Something About Us,Daft Punk,43,2001,2000s
32,Love Is a Losing Game,Amy Winehouse,65,2007,2000s
33,Green Eyes,Coldplay,72,2002,2000s
34,Breathe Me,Sia,48,2004,2000s
35,Love Lockdown,Kanye West,214,2008,2000s
36,Fidelity,Regina Spektor,154,2006,2000s
37,"Hey, Soul Sister",Train,168,2009,2000s
38,Run,Snow Patrol,109,2004,2000s
39,Strawberry Swing,Coldplay,91,2008,2000s
40,Heart Skipped a Beat,The xx,116,2009,2000s
41,First Day of My Life,Bright Eyes,103,2005,2000s
42,Make You Feel My Love,Adele,91,2008,2000s
43,Love Song,Sara Bareilles,202,2007,2000s
44,Naked As We Came,Iron & Wine,52,2004,2000s
45,Warning Sign,Coldplay,87,2002,2000s
46,Open Your Eyes,Snow Patrol,104,2007,2000s
47,Sparks,Coldplay,70,2000,2000s
48,Come Away with Me,Norah Jones,53,2002,2000s
49,This Modern Love,Bloc Party,130,2005,2000s
50,Cosmic Love,Florence + the Machine,87,2009,2000s
51,Unfaithful,Rihanna,156,2006,2000s
52,No One,Alicia Keys,150,2007,2000s
53,Samson,Regina Spektor,134,2002,2000s
54,If I Were a Boy,Beyoncé,146,2008,2000s
55,Cannonball,Damien Rice,105,2002,2000s
56,Love Story,Taylor Swift,181,2008,2000s
57,Where Is the Love,Black Eyed Peas,353,2003,2000s
58,Bubbly,Colbie Caillat,146,2007,2000s
59,Breakeven,The Script,193,2008,2000s
60,A Message,Coldplay,83,2005,2000s
61,Thank You,Dido,95,2000,2000s
62,Let Me Love You,Mario,255,2004,2000s
63,Apologize,OneRepublic,99,2006,2000s
64,Far Away,Nickelback,151,2006,2000s
65,Lying Is the Most Fun a Girl Can Have Without Taking Her Clothes Off,Panic! at the Disco,256,2006,2000s
66,A Rush of Blood to the Head,Coldplay,179,2002,2000s
67,Apologize,Timbaland,95,2007,2000s
68,Nothing Better,The Postal Service,142,2003,2000s
69,Your Body Is a Wonderland,John Mayer,136,2002,2000s
70,Goodbye My Lover,James Blunt,163,2005,2000s
71,Falling Away With You,Muse,110,2003,2000s
72,Marching Bands of Manhattan,Death Cab for Cutie,84,2005,2000s
73,Re: Stacks,Bon Iver,86,2007,2000s
74,You Found Me,The Fray,118,2008,2000s
75,The Man Who Can't Be Moved,The Script,232,2008,2000s
76,The Only Exception,Paramore,99,2009,2000s
77,Replay,Iyaz,281,2009,2000s
78,Crown of Love,Arcade Fire,111,2004,2000s
79,To Be Alone With You,Sufjan Stevens,41,2004,2000s
80,If I Ever Feel Better,Phoenix,300,2000,2000s
81,With You,Chris Brown,267,2007,2000s
82,Forever,Chris Brown,269,2008,2000s
83,Meet Me Halfway,Black Eyed Peas,200,2009,2000s
84,A Thousand Miles,Vanessa Carlton,141,2002,2000s
85,Stop Crying Your Heart Out,Oasis,102,2002,2000s
86,Swallowed in the Sea,Coldplay,126,2005,2000s
87,A Lack of Color,Death Cab for Cutie,72,2003,2000s
88,Your Heart Is an Empty Room,Death Cab for Cutie,74,2005,2000s
89,9 Crimes,Damien Rice,138,2006,2000s
90,Wish You Were Here,Incubus,60,2001,2000s
91,Blood Bank,Bon Iver,100,2009,2000s
92,The Blower's Daughter,Damien Rice,108,2002,2000s
93,No One's Gonna Love You,Band of Horses,97,2007,2000s
94,Ocean Avenue,Yellowcard,130,2004,2000s
95,Always,blink-182,118,2004,2000s
96,"Flightless Bird, American Mouth",Iron & Wine,75,2007,2000s
97,Take a Bow,Rihanna,141,2008,2000s
98,You Belong with Me,Taylor Swift,168,2008,2000s
99,Need You Now,Lady Antebellum,143,2009,2000s
100,Transatlanticism,Death Cab for Cutie,101,2003,2000s
101,Endlessly,Muse,61,2003,2000s
102,The Ghost of You,My Chemical Romance,129,2004,2000s
103,My Love,Justin Timberlake,394,2006,2000s
104,Clark Gable,The Postal Service,102,2003,2000s
105,You Could Be Happy,Snow Patrol,57,2006,2000s
106,Someday You Will Be Loved,Death Cab for Cutie,103,2005,2000s
107,Everything Will Be Alright,The Killers,99,2004,2000s
108,Brand New Colony,The Postal Service,110,2003,2000s
109,Knock You Down,Keri Hilson,441,2009,2000s
110,Lips Of An Angel,Hinder,158,2006,2000s
111,You Give Me Something,James Morrison,129,2006,2000s
112,What Sarah Said,Death Cab for Cutie,96,2005,2000s
113,I Don't Love You,My Chemical Romance,93,2006,2000s
114,Creature Fear,Bon Iver,60,2007,2000s
115,Do You Realize??,The Flaming Lips,82,2002,2000s
116,Dilemma,Nelly,385,2002,2000s
117,We Will Become Silhouettes,The Postal Service,106,2005,2000s
118,Brothers on a Hotel Bed,Death Cab for Cutie,86,2005,2000s
119,Dakota,Stereophonics,144,2005,2000s
120,When You're Gone,Avril Lavigne,126,2007,2000s
121,Slow Dancing in a Burning Room,John Mayer,118,2006,2000s
122,Unintended,Muse,63,2000,2000s
123,Love Hurts,Incubus,139,2006,2000s
124,Set the Fire to the Third Bar,Snow Patrol,102,2006,2000s
125,If I Ain't Got You,Alicia Keys,129,2004,2000s
126,But It's Better If You Do,Panic! at the Disco,170,2006,2000s
127,Delicate,Damien Rice,76,2002,2000s
128,All the Right Moves,OneRepublic,250,2009,2000s
129,You and Me,Lifehouse,82,2005,2000s
130,You're All I Have,Snow Patrol,112,2006,2000s
131,I'm with You,Avril Lavigne,120,2002,2000s
132,5 Years Time,Noah and the Whale,171,2008,2000s
133,Do You Remember,Jack Johnson,101,2005,2000s
134,Rehab,Rihanna,314,2008,2000s
135,Playground Love,Air,43,2000,2000s
136,Thinking of You,Katy Perry,129,2008,2000s
137,Look After You,The Fray,133,2005,2000s
138,Better in Time,Leona Lewis,183,2008,2000s
139,Hanging by a Moment,Lifehouse,130,2000,2000s
140,Little Bit,Lykke Li,162,2007,2000s
141,Won't Go Home Without You,Maroon 5,159,2007,2000s
142,To Build a Home,The Cinematic Orchestra,65,2007,2000s
143,Daydreamer,Adele,82,2008,2000s
144,I Will Possess Your Heart,Death Cab for Cutie,129,2008,2000s
145,I'd Rather Dance With You,Kings of Convenience,80,2004,2000s
146,We Belong Together,Mariah Carey,235,2005,2000s
147,Can't Help But Wait,Trey Songz,207,2007,2000s
148,Volcano,Damien Rice,184,2002,2000s
149,Roulette,System of a Down,94,2002,2000s
150,Us,Regina Spektor,123,2004,2000s
151,When It Rains,Paramore,132,2007,2000s
152,Bedshaped,Keane,75,2004,2000s
153,Stickwitu,The Pussycat Dolls,250,2005,2000s
154,Sea of Love,Cat Power,28,2000,2000s
155,Hear You Me,Jimmy Eat World,118,2001,2000s
156,Dig,Incubus,117,2006,2000s
157,Accidentally in Love,Counting Crows,184,2004,2000s
158,Daughters,John Mayer,111,2004,2000s
159,Lua,Bright Eyes,142,2004,2000s
160,Collide,Howie Day,88,2004,2000s
161,Love Today,Mika,136,2007,2000s
162,Look What You've Done,Jet,106,2003,2000s
163,So Sorry,Feist,77,2007,2000s
164,"Build God, Then We'll Talk",Panic! at the Disco,180,2007,2000s
165,We Might as Well Be Strangers,Keane,59,2004,2000s
166,Amber,311,97,2001,2000s
167,The Sharpest Lives,My Chemical Romance,160,2006,2000s
168,High,James Blunt,92,2004,2000s
169,Time to Dance,Panic! at the Disco,157,2005,2000s
170,"Jesus, Etc.",Wilco,129,2002,2000s
171,Tiny Vessels,Death Cab for Cutie,101,2003,2000s
172,Feel,Robbie Williams,125,2002,2000s
173,Please Don't Leave Me,P!nk,161,2008,2000s
174,Never Say Never,The Fray,101,2009,2000s
175,Home,Michael Bublé,139,2005,2000s
176,Million Faces,Paolo Nutini,156,2006,2000s
177,Lost Without U,Robin Thicke,187,2007,2000s
178,Now at Last,Feist,37,2004,2000s
179,Trophy,Bat for Lashes,135,2006,2000s
180,No Air,Jordin Sparks,338,2008,2000s
181,It's Not Up to You,Björk,87,2001,2000s
182,Together We Will Live Forever,Clint Mansell,1,2006,2000s
183,Beating Heart Baby,Head Automatica,192,2004,2000s
184,Cautioners,Jimmy Eat World,68,2001,2000s
185,Bruised,Jack's Mannequin,192,2005,2000s
186,Night Terror,Laura Marling,81,2007,2000s
187,The Closest Thing to Crazy,Katie Melua,73,2003,2000s
188,Photobooth,Death Cab for Cutie,135,2000,2000s
189,Elephant,Damien Rice,107,2006,2000s
190,Unsolved Mysteries,Animal Collective,102,2007,2000s
191,Katherine Kiss Me,Franz Ferdinand,94,2009,2000s
192,The Engine Driver,The Decemberists,108,2005,2000s
193,Cater 2 U,Destiny's Child,323,2004,2000s
194,Hamburg Song,Keane,95,2006,2000s
195,First Time,Lifehouse,156,2007,2000s
196,The Animals Were Gone,Damien Rice,125,2006,2000s
197,I Melt with You,Nouvelle Vague,101,2004,2000s
198,Blue Skies,Noah and the Whale,69,2009,2000s
199,Measuring Cups,Andrew Bird,115,2005,2000s
200,The Good Stuff,Kenny Chesney,185,2002,2000s
201,Poor Places,Wilco,161,2002,2000s
202,The Finish Line,Snow Patrol,77,2006,2000s
203,Summer Love,Justin Timberlake,329,2006,2000s
204,Not About Love,Fiona Apple,146,2005,2000s
205,I Summon You,Spoon,77,2005,2000s
206,Faded From the Winter,Iron & Wine,23,2002,2000s
207,Love Dog,TV on the Radio,81,2008,2000s
208,Candy,Paolo Nutini,195,2009,2000s
209,Laura,Girls,92,2009,2000s
210,Be Still My Heart,The Postal Service,71,2005,2000s
211,Eskimo,Damien Rice,96,2002,2000s
212,L.O.V.E.,Ashlee Simpson,170,2005,2000s
213,In God's Hands,Nelly Furtado,107,2007,2000s
214,All We Are,OneRepublic,146,2007,2000s
215,Crawl,Chris Brown,155,2009,2000s
216,One Line,PJ Harvey,69,2000,2000s
217,Not Falling Apart,Maroon 5,135,2007,2000s
218,Love Song For No One,John Mayer,104,2001,2000s
219,Love Like a Sunset Part II,Phoenix,18,2009,2000s
220,Miserable at Best,Mayday Parade,231,2007,2000s
221,You Have Killed Me,Morrissey,64,2006,2000s
222,Passive Aggressive,Placebo,98,2000,2000s
223,Shelter,Ray LaMontagne,81,2004,2000s
224,It's True That We Love One Another,The White Stripes,199,2003,2000s
225,"Decatur, or, Round of Applause for Your Stepmother!",Sufjan Stevens,94,2005,2000s
226,I Am In Love With You,Imogen Heap,93,2005,2000s
227,I Wanna Know,Joe,233,2000,2000s
228,Don't Forget,Demi Lovato,88,2008,2000s
229,Ever Fallen in Love,Nouvelle Vague,171,2006,2000s
230,The Calculation,Regina Spektor,114,2009,2000s
231,All My Loving,Jim Sturgess,76,2007,2000s
232,Reservations,Wilco,55,2002,2000s
233,The Gulag Orkestar,Beirut,33,2006,2000s
234,She's A Lady,Forever the Sickest Kids,160,2008,2000s
235,Breathe,Michelle Branch,127,2003,2000s
236,Honey and the Moon,Joseph Arthur,166,2002,2000s
237,Forever Young,Youth Group,135,2006,2000s
238,The Magic Position,Patrick Wolf,107,2007,2000s
239,One Sweet Love,Sara Bareilles,144,2004,2000s
240,Bless the Broken Road,Rascal Flatts,117,2004,2000s
241,In Those Jeans,Ginuwine,217,2003,2000s
242,Pictures Of You,The Last Goodnight,119,2007,2000s
243,Hate Me,Blue October,265,2006,2000s
244,Ave Maria,Beyoncé,79,2008,2000s
245,Sowing Season (Yeah),Brand New,132,2006,2000s
246,Good Woman,Cat Power,44,2003,2000s
247,Dress Up in You,Belle and Sebastian,155,2006,2000s
248,Light Up the Sky,Yellowcard,140,2007,2000s
249,Death on the Stairs,The Libertines,178,2002,2000s
250,(Another Song) All Over Again,Justin Timberlake,109,2006,2000s
251,The Way I Loved You,Taylor Swift,168,2008,2000s
252,Good Love,Bat for Lashes,113,2009,2000s
253,Tonight,Lykke Li,221,2008,2000s
254,A Song for the Lovers,Richard Ashcroft,137,2000,2000s
255,The Gift,Angels & Airwaves,147,2006,2000s
256,Last Night on Earth,Green Day,68,2009,2000s
257,Believe,Yellowcard,182,2003,2000s
258,Existentialism On Prom Night,Straylight Run,106,2004,2000s
259,Loch Raven,Animal Collective,228,2005,2000s
260,Checkmarks,The Academy Is...,165,2005,2000s
261,Back at Your Door,Maroon 5,164,2007,2000s
262,Make You Smile,44,143,2006,2000s
263,City Love,John Mayer,108,2001,2000s
264,Supergirl,Reamonn,112,2000,2000s
265,Ode to Divorce,Regina Spektor,129,2004,2000s
266,Provider,N*E*R*D,198,2008,2000s
267,bird stealing bread,Iron & Wine,80,2002,2000s
268,Unison,Björk,96,2001,2000s
269,Daughters of the Soho Riots,The National,118,2005,2000s
270,Honestly,Cartel,126,2006,2000s
271,I Wanna,The All-American Rejects,166,2009,2000s
272,Running,No Doubt,122,2001,2000s
273,Broken,Seether (feat. Amy Lee),121,2004,2000s
274,The Call,Regina Spektor,81,2008,2000s
275,Perfectly Lonely,John Mayer,139,2009,2000s
276,Run,Leona Lewis,102,2008,2000s
277,The Trapeze Swinger,Iron & Wine,222,2009,2000s
278,Eyes,Rogue Wave,59,2006,2000s
279,Our Way to Fall,Yo La Tengo,105,2000,2000s
280,Whatever It Takes,Lifehouse,124,2007,2000s
281,Soco Amaretto Lime,Brand New,243,2001,2000s
282,Hate,Cat Power,82,2006,2000s
283,Until the End of Time,Justin Timberlake,199,2006,2000s
284,As Lovers Go,Dashboard Confessional,140,2003,2000s
285,Over,Lindsay Lohan,135,2004,2000s
286,Mr. E's Beautiful Blues,Eels,134,2000,2000s
287,"Wow, I Can Get Sexual Too",Say Anything,133,2005,2000s
288,Mix Tape,Brand New,94,2001,2000s
289,Bury Your Head,Saosin,132,2006,2000s
290,If You're Not the One,Daniel Bedingfield,129,2002,2000s
291,Here's To The Night,EVE 6,112,2001,2000s
292,Accidental Babies,Damien Rice,121,2006,2000s
293,Fools,The Temper Trap,71,2009,2000s
294,I've Got Friends,Manchester Orchestra,148,2009,2000s
295,Let Me Kiss You,Morrissey,64,2004,2000s
296,Coney Island,Death Cab for Cutie,36,2001,2000s
297,In Love with a Girl,Gavin DeGraw,211,2008,2000s
298,Be Without You,Mary J. Blige,273,2005,2000s
299,I Woke Up In A Car,Something Corporate,174,2002,2000s
300,Come Back to Bed,John Mayer,113,2003,2000s
301,Take Me Anywhere,Tegan and Sara,114,2004,2000s
302,Punk Rock Princess,Something Corporate,142,2002,2000s
303,My Superman,Santigold,38,2008,2000s
304,Shape of My Heart,Backstreet Boys,141,2000,2000s
305,The Bird and The Worm,Owl City,141,2009,2000s
306,Keep You Much Longer,Akon,339,2008,2000s
307,Paper Shoes,Incubus,101,2006,2000s
308,She Says,Howie Day,124,2005,2000s
309,Kill the Messenger,Jack's Mannequin,150,2005,2000s
310,I'm a Lady (feat. Trouble Andrew),Santigold,94,2008,2000s
311,Secret Valentine,We the Kings,132,2007,2000s
312,Who Needs Love?,Razorlight,99,2006,2000s
313,Midnight Bottle,Colbie Caillat,145,2007,2000s
314,Skeptics And True Believers,The Academy Is...,136,2005,2000s
315,Information Travels Faster,Death Cab for Cutie,72,2001,2000s
316,Jezebel,Iron & Wine,93,2005,2000s
317,Cubism Dream,Local Natives,85,2009,2000s
318,There's A Class For This,Cute Is What We Aim For,143,2006,2000s
319,I'm Yours,The Script,116,2008,2000s
320,You and I,Wilco,87,2009,2000s
321,I Have Friends in Holy Spaces,Panic! at the Disco,90,2008,2000s
322,Glorious,Muse,52,2007,2000s
323,Recess,Muse,50,2000,2000s
324,The Moon,Cat Power,54,2006,2000s
325,After Tonight,Justin Nozuka,139,2008,2000s
326,Tim McGraw,Taylor Swift,187,2006,2000s
327,City,Sara Bareilles,106,2007,2000s
328,Yoshimi Battles the Pink Robots Pt. 1,The Flaming Lips,97,2002,2000s
329,Winters Love,Animal Collective,57,2004,2000s
330,Gotta Have You,The Weepies,125,2006,2000s
331,Mirrorball,Elbow,98,2008,2000s
332,The Last Song,The All-American Rejects,152,2003,2000s
333,Cry Me Out,Pixie Lott,117,2009,2000s
334,Again I Go Unnoticed,Dashboard Confessional,114,2000,2000s
335,Terrible Angels,CocoRosie,141,2004,2000s
336,Should've Said No,Taylor Swift,134,2006,2000s
337,Bright Lights,Matchbox Twenty,150,2003,2000s
338,Cigarettes And Chocolate Milk,Rufus Wainwright,144,2001,2000s
339,You Really Got a Hold on Me,She & Him,72,2008,2000s
340,When The Stars Go Blue,Ryan Adams,71,2001,2000s
341,Loving You,Paolo Nutini,157,2006,2000s
342,The Blue Channel,Taking Back Sunday,82,2002,2000s
343,Wonderwall,Oasis,105,1995,90s
344,Iris,Goo Goo Dolls,96,1998,90s
345,Love Will Tear Us Apart,Joy Division,87,1980,80s
346,Fake Plastic Trees,Radiohead,71,1995,90s
347,Friday I'm in Love,The Cure,130,1992,90s
348,Someone Like You,Adele,167,2011,2010s
349,Don't Speak,No Doubt,155,1996,90s
350,Just Like Heaven,The Cure,91,1987,80s
351,With or Without You,U2,75,1987,80s
352,Hallelujah,Jeff Buckley,143,1994,90s
353,Set Fire to the Rain,Adele,173,2011,2010s
354,I Don't Want to Miss a Thing,Aerosmith,200,1998,90s
355,One,U2,123,1992,90s
356,All You Need Is Love,The Beatles,97,1967,60s
357,Ho Hey,The Lumineers,62,2012,2010s
358,Lovesong,The Cure,78,1989,80s
359,Something,The Beatles,52,1969,60s
360,There Is a Light That Never Goes Out,The Smiths,142,1986,80s
361,Linger,The Cranberries,101,1993,90s
362,Somebody to Love,Queen,259,1976,70s
363,Just the Way You Are,Bruno Mars,130,2010,2010s
364,Your Song,Elton John,111,1970,70s
365,Kiss Me,Sixpence None the Richer,100,1998,90s
